"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"144","Lucas Krull (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"146","Andrew Ogletree (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Connor Heyward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"148","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Josh Babicz (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Stone Smartt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Curtis Hodges (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Jalen Wydermyer (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"153","Trey McBride (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"154","Peyton Hendershot (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Jake Ferguson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"156","Charlie Kolar (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Hunter Long (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Tommy Tremble (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"159","Tre' McKitty (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"160","Kenny Yeboah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Quintin Morris (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Miller Forristall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","John Bates (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"164","Kylen Granson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"165","Troy Fumagalli (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Demetrius Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"169","Jordan Matthews (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Eric Ebron (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
